estado,fecha,promedio_dias
Arkansas,2011-01,144.0
Kansas,2011-01,122.0
Utah,2011-01,116.0
Nevada,2011-01,113.0
New Mexico,2011-01,136.0
West Virginia,2011-01,137.0
Nebraska,2011-01,106.0
Idaho,2011-01,110.0
Hawaii,2011-01,102.0
Maine,2011-01,149.0
New Hampshire,2011-01,122.0
Rhode Island,2011-01,141.0
Montana,2011-01,118.0
Delaware,2011-01,138.0
South Dakota,2011-01,
Alaska,2011-01,139.0
North Dakota,2011-01,133.0
Vermont,2011-01,155.0
District of Columbia,2011-01,110.0
Wyoming,2011-01,114.0
Puerto Rico,2011-01,
California,2011-02,113.0
Texas,2011-02,133.0
New York,2011-02,176.0
Florida,2011-02,126.0
Illinois,2011-02,151.0
Pennsylvania,2011-02,146.0
Ohio,2011-02,134.0
Michigan,2011-02,116.0
Georgia,2011-02,150.0
North Carolina,2011-02,158.0
New Jersey,2011-02,182.0
Virginia,2011-02,130.0
Washington,2011-02,142.0
Massachusetts,2011-02,145.0
Indiana,2011-02,138.0
Arizona,2011-02,116.0
Tennessee,2011-02,144.0
Missouri,2011-02,130.0
Maryland,2011-02,143.0
Wisconsin,2011-02,152.0
Minnesota,2011-02,140.0
Colorado,2011-02,130.0
Alabama,2011-02,146.0
South Carolina,2011-02,164.0
Louisiana,2011-02,110.0
Kentucky,2011-02,110.0
Oregon,2011-02,140.0
Oklahoma,2011-02,129.0
Connecticut,2011-02,141.0
Iowa,2011-02,131.0
Mississippi,2011-02,129.0
Arkansas,2011-02,132.0
Kansas,2011-02,130.0
Utah,2011-02,118.0
Nevada,2011-02,115.0
New Mexico,2011-02,140.0
West Virginia,2011-02,138.0
Nebraska,2011-02,131.0
Idaho,2011-02,111.0
Hawaii,2011-02,131.0
Maine,2011-02,160.0
New Hampshire,2011-02,150.0
Rhode Island,2011-02,164.0
Montana,2011-02,141.0
Delaware,2011-02,149.0
South Dakota,2011-02,
Alaska,2011-02,144.0
North Dakota,2011-02,108.0
Vermont,2011-02,177.0
District of Columbia,2011-02,117.5
Wyoming,2011-02,119.0
Puerto Rico,2011-02,
California,2011-03,108.0
Texas,2011-03,126.0
New York,2011-03,177.0
Florida,2011-03,127.0
Illinois,2011-03,144.0
Pennsylvania,2011-03,151.0
Ohio,2011-03,132.5
Michigan,2011-03,117.0
Georgia,2011-03,143.0
North Carolina,2011-03,149.0
New Jersey,2011-03,181.0
Virginia,2011-03,127.0
Washington,2011-03,137.5
Massachusetts,2011-03,151.5
Indiana,2011-03,138.0
Arizona,2011-03,117.0
Tennessee,2011-03,145.0
Missouri,2011-03,136.0
Maryland,2011-03,138.0
Wisconsin,2011-03,153.0
Minnesota,2011-03,133.0
Colorado,2011-03,133.0
Alabama,2011-03,138.0
South Carolina,2011-03,164.0
Louisiana,2011-03,116.0
Kentucky,2011-03,113.0
Oregon,2011-03,143.0
Oklahoma,2011-03,127.0
Connecticut,2011-03,147.0
Iowa,2011-03,138.0
Mississippi,2011-03,135.5
Arkansas,2011-03,128.0
Kansas,2011-03,126.0
Utah,2011-03,116.0
Nevada,2011-03,106.0
New Mexico,2011-03,143.0
West Virginia,2011-03,146.0
Nebraska,2011-03,128.0
Idaho,2011-03,114.5
Hawaii,2011-03,109.0
Maine,2011-03,146.0
New Hampshire,2011-03,129.0
Rhode Island,2011-03,166.0
Montana,2011-03,109.0
Delaware,2011-03,157.0
South Dakota,2011-03,
Alaska,2011-03,131.0
North Dakota,2011-03,146.0
Vermont,2011-03,165.0
District of Columbia,2011-03,117.0
Wyoming,2011-03,94.0
Puerto Rico,2011-03,
California,2011-04,93.0
Texas,2011-04,116.0
New York,2011-04,181.0
Florida,2011-04,133.0
Illinois,2011-04,146.0
Pennsylvania,2011-04,149.0
Ohio,2011-04,129.0
Michigan,2011-04,115.5
Georgia,2011-04,136.0
North Carolina,2011-04,133.0
New Jersey,2011-04,187.0
Virginia,2011-04,113.0
Washington,2011-04,120.0
Massachusetts,2011-04,139.0
Indiana,2011-04,140.0
Arizona,2011-04,103.5
Tennessee,2011-04,141.0
Missouri,2011-04,128.0
Maryland,2011-04,142.0
Wisconsin,2011-04,147.0
Minnesota,2011-04,139.0
Colorado,2011-04,123.0
Alabama,2011-04,128.0
South Carolina,2011-04,163.0
Louisiana,2011-04,125.0
Kentucky,2011-04,119.0
Oregon,2011-04,133.0
Oklahoma,2011-04,132.0
Connecticut,2011-04,149.5
Iowa,2011-04,131.0
Mississippi,2011-04,123.5
Arkansas,2011-04,112.0
Kansas,2011-04,125.0
Utah,2011-04,115.0
Nevada,2011-04,101.0
New Mexico,2011-04,145.0
West Virginia,2011-04,134.5
Nebraska,2011-04,128.0
Idaho,2011-04,104.0
Hawaii,2011-04,101.0
Maine,2011-04,167.0
New Hampshire,2011-04,147.0
Rhode Island,2011-04,159.0
Montana,2011-04,113.0
Delaware,2011-04,154.0
South Dakota,2011-04,
Alaska,2011-04,112.0
North Dakota,2011-04,94.0
Vermont,2011-04,200.0
District of Columbia,2011-04,109.0
Wyoming,2011-04,81.5
Puerto Rico,2011-04,
California,2011-05,92.0
Texas,2011-05,110.0
New York,2011-05,176.0
Florida,2011-05,133.0
Illinois,2011-05,141.0
Pennsylvania,2011-05,135.0
Ohio,2011-05,120.0
Michigan,2011-05,109.0
Georgia,2011-05,130.0
North Carolina,2011-05,136.0
New Jersey,2011-05,176.0
Virginia,2011-05,103.0
Washington,2011-05,107.0
Massachusetts,2011-05,103.0
Indiana,2011-05,131.0
Arizona,2011-05,103.0
Tennessee,2011-05,129.0
Missouri,2011-05,113.0
Maryland,2011-05,131.0
Wisconsin,2011-05,143.0
Minnesota,2011-05,122.0
Colorado,2011-05,110.0
Alabama,2011-05,120.0
South Carolina,2011-05,154.0
Louisiana,2011-05,110.0
Kentucky,2011-05,103.0
Oregon,2011-05,112.0
Oklahoma,2011-05,121.0
Connecticut,2011-05,132.0
Iowa,2011-05,124.5
Mississippi,2011-05,120.0
Arkansas,2011-05,115.0
Kansas,2011-05,111.0
Utah,2011-05,105.0
Nevada,2011-05,103.0
New Mexico,2011-05,141.0
West Virginia,2011-05,113.0
Nebraska,2011-05,108.0
Idaho,2011-05,103.0
Hawaii,2011-05,108.0
Maine,2011-05,150.0
New Hampshire,2011-05,114.0
Rhode Island,2011-05,145.0
Montana,2011-05,126.0
Delaware,2011-05,137.0
South Dakota,2011-05,
Alaska,2011-05,104.0
North Dakota,2011-05,108.0
Vermont,2011-05,215.0
District of Columbia,2011-05,85.0
Wyoming,2011-05,65.0
Puerto Rico,2011-05,
California,2011-06,95.0
Texas,2011-06,105.0
New York,2011-06,141.0
Florida,2011-06,134.0
Illinois,2011-06,129.0
Pennsylvania,2011-06,119.0
Ohio,2011-06,117.0
Michigan,2011-06,102.0
Georgia,2011-06,125.0
North Carolina,2011-06,124.0
New Jersey,2011-06,145.0
Virginia,2011-06,95.0
Washington,2011-06,106.0
Massachusetts,2011-06,95.0
Indiana,2011-06,124.0
Arizona,2011-06,100.0
Tennessee,2011-06,122.0
Missouri,2011-06,105.0
Maryland,2011-06,117.0
Wisconsin,2011-06,123.0
Minnesota,2011-06,109.0
Colorado,2011-06,106.0
Alabama,2011-06,123.0
South Carolina,2011-06,145.0
Louisiana,2011-06,109.0
Kentucky,2011-06,102.0
Oregon,2011-06,111.0
Oklahoma,2011-06,114.5
Connecticut,2011-06,108.0
Iowa,2011-06,113.0
Mississippi,2011-06,120.0
Arkansas,2011-06,110.0
Kansas,2011-06,103.0
Utah,2011-06,104.0
Nevada,2011-06,96.0
New Mexico,2011-06,124.0
West Virginia,2011-06,123.0
Nebraska,2011-06,98.5
Idaho,2011-06,97.0
Hawaii,2011-06,102.0
Maine,2011-06,115.0
New Hampshire,2011-06,104.0
Rhode Island,2011-06,116.0
Montana,2011-06,99.0
Delaware,2011-06,115.0
South Dakota,2011-06,
Alaska,2011-06,104.0
North Dakota,2011-06,104.0
Vermont,2011-06,116.0
District of Columbia,2011-06,85.0
Wyoming,2011-06,75.0
Puerto Rico,2011-06,
California,2011-07,97.0
Texas,2011-07,109.0
New York,2011-07,140.0
Florida,2011-07,133.0
Illinois,2011-07,130.0
Pennsylvania,2011-07,118.0
Ohio,2011-07,118.0
Michigan,2011-07,102.0
Georgia,2011-07,131.0
North Carolina,2011-07,134.0
New Jersey,2011-07,138.0
